成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
408,2022-08-31,000300,沪深300,CSI 300,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen  Exchange,0.078,9.65,5.14,46259334587.0,4793713428.704663,8999870542.2179
601216,2022-08-31,000300,沪深300,CSI 300,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.077,8.97,1.55,36452235125.0,4063794328.316611,23517571048.387096
688363,2022-08-31,000300,沪深300,CSI 300,华熙生物,Bloomage Biotechnology Corporation Limited,上海证券交易所,Shanghai  Exchange,0.072,71.91,11.21,68063944990.0,946515713.9479905,6071716769.84835
601998,2022-08-31,000300,沪深300,CSI 300,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai  Exchange,0.072,3.44,0.43,223632235512.0,65009370788.37209,520074966306.97675
688561,2022-08-31,000300,沪深300,CSI 300,奇安信,Qi An Xin Technology Group Inc.,上海证券交易所,Shanghai  Exchange,0.071,-18.92,3.85,34417863977.0,-1819126003.0126848,8939704929.090908
601966,2022-08-31,000300,沪深300,CSI 300,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.071,149.63,1.76,33137855152.0,221465315.45813006,18828326790.909092
600606,2022-08-31,000300,沪深300,CSI 300,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.069,5.2,0.46,43708618957.0,8405503645.576922,95018736863.04347
600025,2022-08-31,000300,沪深300,CSI 300,华能水电,HuanengLancang River Hydropower Inc.,上海证券交易所,Shanghai  Exchange,0.069,17.5,2.59,134460000000.0,7683428571.428572,51915057915.057915
603160,2022-08-31,000300,沪深300,CSI 300,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.068,617.18,3.08,26028670220.0,42173547.78184646,8450866954.545454
601881,2022-08-31,000300,沪深300,CSI 300,中国银河,"China Galaxy Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.067,10.88,1.15,94175133853.0,8655802743.841911,81891420741.73914
600655,2022-08-31,000300,沪深300,CSI 300,豫园股份,"SHANGHAI YUYUAN TOURIST MART (GROUP) CO., LTD.",上海证券交易所,Shanghai  Exchange,0.065,20.74,0.93,31284467911.0,1508412146.1427195,33639212807.52688
2568,2022-08-31,000300,沪深300,CSI 300,百润股份,"SHANGHAI BAIRUN INVESTMENT HOLDING GROUP CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.064,54.18,7.06,23933145374.0,441733949.31709117,3389963933.9943347
2791,2022-08-31,000300,沪深300,CSI 300,坚朗五金,"Guangdong KinLong Hardware Products Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.064,-182.8,6.72,31182949200.0,-170585061.2691466,4640319821.428572
688065,2022-08-31,000300,沪深300,CSI 300,凯赛生物,Cathay Biotech Inc.,上海证券交易所,Shanghai  Exchange,0.064,60.19,3.76,40501183933.0,672888917.3118459,10771591471.542553
603195,2022-08-31,000300,沪深300,CSI 300,公牛集团,"GONGNIU GROUP CO., LTD.",上海证券交易所,Shanghai  Exchange,0.061,29.7,8.46,89571710580.0,3015882511.111111,10587672645.39007
2064,2022-08-31,000300,沪深300,CSI 300,华峰化学,"Huafon Chemical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.059,7.74,1.63,37070202911.0,4789431900.645995,22742455773.619633
300866,2022-08-31,000300,沪深300,CSI 300,安克创新,"Anker Innovations Technology Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.052,21.59,3.95,24861152252.0,1151512378.5085688,6293962595.443038
601808,2022-08-31,000300,沪深300,CSI 300,中海油服,China Oilfield Services Limited,上海证券交易所,Shanghai  Exchange,0.045,32.48,1.87,71621595920.0,2205098396.5517244,38300318673.79679
2607,2022-08-31,000300,沪深300,CSI 300,中公教育,"Offcn Education Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.044,-15.71,28.06,27999993226.0,-1782303833.6091661,997861483.4640057
603087,2022-08-31,000300,沪深300,CSI 300,甘李药业,Gan & Lee Pharmaceuticals,上海证券交易所,Shanghai  Exchange,0.043,-52.05,2.1,20569210200.0,-395181752.16138333,9794862000.0
601236,2022-08-31,000300,沪深300,CSI 300,红塔证券,"HONGTA SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.042,59.76,1.69,39007834626.0,652741543.2730924,23081558950.29586
800,2022-08-31,000300,沪深300,CSI 300,一汽解放,"FAW Jiefang Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.04,110.78,1.6,37698328365.0,340299046.44340134,23561455228.125
2032,2022-08-31,000300,沪深300,CSI 300,苏泊尔,"Zhejiang Supor Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.039,19.85,5.31,37036375001.0,1865812342.6196473,6974835216.760829
605499,2022-08-31,000300,沪深300,CSI 300,东鹏饮料,"Eastroc Beverage (Group) Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.035,38.73,13.31,58453461300.0,1509255391.169636,4391695063.861758
877,2022-08-31,000300,沪深300,CSI 300,天山股份,Xinjiang Tianshan Cement Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.031,12.03,1.03,83775298611.0,6963865221.197008,81335241369.90291
300979,2022-08-31,000300,沪深300,CSI 300,华利集团,Huali Industrial Group Company Limited,深圳证券交易所,Shenzhen  Exchange,0.03,22.3,6.05,69646560000.0,3123164125.560538,11511828099.173553
601825,2022-08-31,000300,沪深300,CSI 300,沪农商行,"Shanghai Rural Commercial Bank Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.028,4.61,0.56,53912444448.0,11694673416.05206,96272222228.57143
601698,2022-08-31,000300,沪深300,CSI 300,中国卫通,"China Satellite Communications Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.026,88.31,4.09,50080000000.0,567093194.428717,12244498777.506113
1289,2022-08-31,000300,沪深300,CSI 300,龙源电力,China Longyuan Power Group Corporation Limited,深圳证券交易所,Shenzhen  Exchange,0.017,20.22,2.78,175183030128.0,8663849165.578636,63015478463.30936
