成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600823,2022-08-31,000922,中证红利,CSI Dividend,世茂股份,Shanghai Shi Mao Co Ltd,上海证券交易所,Shanghai  Exchange,0.716,-13.94,0.38,9715525796.0,-696953070.0143472,25567173147.36842
603156,2022-08-31,000922,中证红利,CSI Dividend,养元饮品,"Hebei Yangyuan ZhiHui Beverage Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.705,17.5,2.29,24272167248.0,1386980985.6,10599199671.61572
895,2022-08-31,000922,中证红利,CSI Dividend,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.704,16.74,4.34,91397762799.0,5459842461.111112,21059392350.0
961,2022-08-31,000922,中证红利,CSI Dividend,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.7,-3.17,0.47,10255177855.0,-3235071878.548896,21819527351.06383
2563,2022-08-31,000922,中证红利,CSI Dividend,森马服饰,Zhejiang Semir Garment Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.7,66.32,1.33,13847623422.0,208800111.91194212,10411746933.834585
601166,2022-08-31,000922,中证红利,CSI Dividend,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,0.692,3.94,0.57,353785323600.0,89793229340.10152,620676006315.7896
2146,2022-08-31,000922,中证红利,CSI Dividend,荣盛发展,Risesun Real Estate Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.69,-2.69,0.32,12131377144.0,-4509805629.739777,37910553575.0
2516,2022-08-31,000922,中证红利,CSI Dividend,旷达科技,"Kuangda Technology Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.679,37.48,2.22,7648361146.0,204065131.963714,3445207723.4234233
600398,2022-08-31,000922,中证红利,CSI Dividend,海澜之家,"Heilan Home Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.668,7.53,1.42,19222246264.0,2552755147.941567,13536793143.661972
600066,2022-08-31,000922,中证红利,CSI Dividend,宇通客车,Zhengzhou Yutong Bus Co Ltd,上海证券交易所,Shanghai  Exchange,0.661,-127.72,1.22,16670962349.0,-130527422.08737864,13664723236.885246
2,2022-08-31,000922,中证红利,CSI Dividend,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.65,7.99,0.83,195395919113.0,24455058712.515644,235416770015.66266
603355,2022-08-31,000922,中证红利,CSI Dividend,莱克电气,"Kingclean Electric Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.645,19.65,5.98,18947340021.0,964241222.4427482,3168451508.528428
