成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600297,2022-08-31,000905,中证500,CSI 500,广汇汽车,"China Grand Automotive Services Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.152,12.41,0.46,19142497360.0,1542505830.7816277,41614124695.652176
600517,2022-08-31,000905,中证500,CSI 500,国网英大,"STATE GRID YINGDA CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.151,24.92,1.67,30936737375.0,1241442109.7512038,18524992440.119762
600216,2022-08-31,000905,中证500,CSI 500,浙江医药,Zhejiang Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,0.151,17.46,1.54,13637258640.0,781057195.8762887,8855362753.246754
2127,2022-08-31,000905,中证500,CSI 500,南极电商,"NanJi E-Commerce Co., LTD",深圳证券交易所,Shenzhen  Exchange,0.151,33.85,2.44,11832475342.0,349556140.08862627,4849375140.163935
600959,2022-08-31,000905,中证500,CSI 500,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,上海证券交易所,Shanghai  Exchange,0.151,50.75,0.73,15952289418.0,314330825.97044337,21852451257.53425
2004,2022-08-31,000905,中证500,CSI 500,华邦健康,"HUAPONT LIFE SCIENCES CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.151,10.57,1.15,11839916762.0,1120143496.8779564,10295579793.04348
601880,2022-08-31,000905,中证500,CSI 500,辽港股份,"Liaoning Port Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.15,26.83,1.06,39818529255.0,1484104705.7398436,37564650240.56603
778,2022-08-31,000905,中证500,CSI 500,新兴铸管,Xinxing Ductile Iron Pipes Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.15,7.37,0.65,15680930990.0,2127670419.2673,24124509215.384613
2985,2022-08-31,000905,中证500,CSI 500,北摩高科,"BEIJING BEI MO GAO KE FRICTION MATERIAL CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.149,37.54,5.54,15786275752.0,420518800.0,2849508258.4837546
656,2022-08-31,000905,中证500,CSI 500,金科股份,"Jinke Property Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.149,-4.65,0.4,13349289540.0,-2870814954.8387094,33373223850.0
600667,2022-08-31,000905,中证500,CSI 500,太极实业,Wuxi Taiji Industrial Co Ltd,上海证券交易所,Shanghai  Exchange,0.148,74.32,1.7,13268998121.0,178538726.06297097,7805293012.3529415
2396,2022-08-31,000905,中证500,CSI 500,星网锐捷,Fujian Star-net Communication Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.148,18.86,2.37,11753097602.0,623175906.7868505,4959112912.236287
2266,2022-08-31,000905,中证500,CSI 500,浙富控股,"ZHEFU HOLDING GROUP CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.148,17.3,2.3,22714236919.0,1312961671.6184971,9875755182.173914
603712,2022-08-31,000905,中证500,CSI 500,七一二,"Tianjin 712 Communication & Broadcasting Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.148,58.74,6.32,24132720000.0,410839632.27783453,3818468354.4303794
598,2022-08-31,000905,中证500,CSI 500,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.147,9.26,1.11,15528336730.0,1676926212.7429807,13989492549.54955
581,2022-08-31,000905,中证500,CSI 500,威孚高科,Weifu High-Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.147,7.54,0.98,18578472657.0,2463988416.047745,18957625160.204082
600755,2022-08-31,000905,中证500,CSI 500,厦门国贸,Xiamen International Trade Group Corp Ltd,上海证券交易所,Shanghai  Exchange,0.146,4.21,0.77,15098741713.0,3586399456.769596,19608755471.42857
601778,2022-08-31,000905,中证500,CSI 500,晶科科技,"Jinko Power Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.145,73.69,1.25,14877060320.0,201887098.92794138,11901648256.0
600718,2022-08-31,000905,中证500,CSI 500,东软集团,Neusoft Corporation,上海证券交易所,Shanghai  Exchange,0.145,81.59,1.4,13548095768.0,166050934.77141806,9677211262.857143
600535,2022-08-31,000905,中证500,CSI 500,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",上海证券交易所,Shanghai  Exchange,0.145,-18.81,1.27,15341932330.0,-815626386.4965445,12080261677.165354
600827,2022-08-31,000905,中证500,CSI 500,百联股份,"Shanghai Bailian Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.144,-86.21,1.17,20054049635.0,-232618601.49634615,17140213363.247864
600282,2022-08-31,000905,中证500,CSI 500,南钢股份,Nanjing Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.144,6.07,0.7,18119086262.0,2985022448.4349256,25884408945.714287
2745,2022-08-31,000905,中证500,CSI 500,木林森,"MLS Co.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.144,39.93,1.21,16132888757.0,404029270.1477586,13332965914.876034
688188,2022-08-31,000905,中证500,CSI 500,柏楚电子,SHANGHAI FRIENDESS ELECTRONICS TECHNOLOGY CORPORATION LIMITED,上海证券交易所,Shanghai  Exchange,0.143,58.97,7.27,29228858680.0,495656413.0914024,4020475746.90509
600895,2022-08-31,000905,中证500,CSI 500,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.143,414.96,1.67,18073207049.0,43554094.488625415,10822279670.059881
300376,2022-08-31,000905,中证500,CSI 500,易事特,"East Group Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.142,35.9,2.75,17603674328.0,490353045.3481894,6401336119.272727
12,2022-08-31,000905,中证500,CSI 500,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.142,9.95,1.69,19928791774.0,2002893645.628141,11792184481.656805
300888,2022-08-31,000905,中证500,CSI 500,稳健医疗,"Winner Medical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.142,17.59,2.86,31415423407.0,1785982001.5349631,10984413778.67133
600259,2022-08-31,000905,中证500,CSI 500,广晟有色,"Rising Nonferrous Metals Share Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.141,38.85,4.28,14537395671.0,374192938.76447874,3396587773.5981307
