代码,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2101,2155,广东鸿图,23.91,1.4,0.33,264100.0,628094173.73,6.87,24.53,22.91,23.53,23.58,1.14,4.99,28.55,2.58,12645493686.0,12643377651.0,0.0,-0.21,72.01,108.28
600235,2156,民丰特纸,5.8,1.4,0.08,55689.0,32220040.0,2.27,5.86,5.73,5.77,5.72,0.59,1.59,50.73,1.44,2037540000.0,2037540000.0,0.0,0.0,8.41,-6.75
300263,2157,隆华科技,7.25,1.4,0.1,275213.0,197619288.02,3.36,7.27,7.03,7.18,7.15,0.63,3.62,35.4,2.15,6556103066.0,5519349013.0,-0.14,0.0,-2.82,-28.71
2755,2158,奥赛康,8.7,1.4,0.12,10289.0,8912979.37,1.63,8.71,8.57,8.66,8.58,1.02,0.11,323.1,2.52,8074995054.0,8074857376.0,0.0,0.12,-10.95,-31.12
688699,2159,明微电子,83.52,1.4,1.15,10337.0,86243991.0,3.58,84.84,81.89,82.9,82.37,0.63,3.0,33.7,3.86,6211215360.0,2878700544.0,0.01,0.1,-19.88,-54.82
688098,2160,申联生物,7.99,1.4,0.11,8229.0,6558391.0,1.9,8.02,7.87,7.88,7.88,0.66,0.31,70.46,2.23,3281045560.0,2105821892.0,-0.13,0.25,-3.27,-27.03
603610,2161,麒盛科技,12.36,1.39,0.17,15163.0,18624637.0,2.13,12.41,12.15,12.26,12.19,0.78,0.73,22.69,1.39,4430927142.0,2573448000.0,0.0,-0.32,-2.68,-37.86
2211,2162,ST宏达,2.91,1.39,0.04,41293.0,12041160.9,2.79,2.96,2.88,2.89,2.87,0.81,0.96,-34.46,36.2,1258504517.0,1257958892.0,-0.34,0.0,14.57,-28.33
2159,2163,三特索道,12.37,1.39,0.17,40151.0,49532082.0,2.62,12.54,12.22,12.3,12.2,0.87,2.91,-19.88,1.89,2193217390.0,1707418544.0,0.24,0.16,24.2,13.17
600515,2164,ST基础,3.64,1.39,0.05,210641.0,76953144.0,1.67,3.68,3.62,3.65,3.59,0.69,0.23,323.67,2.15,41588126951.0,33400685529.0,0.0,-0.27,8.66,-19.65
301041,2165,金百泽,18.2,1.39,0.25,13821.0,25201683.07,2.56,18.37,17.91,17.95,17.95,1.01,2.7,61.76,3.12,1941576000.0,931817578.0,-0.49,-0.44,-1.62,-38.72
300017,2166,网宿科技,5.1,1.39,0.07,184264.0,93684662.94,1.79,5.11,5.02,5.02,5.03,0.95,0.81,71.75,1.41,12479852000.0,11617044527.0,0.2,0.0,-0.58,-23.42
2970,2167,锐明技术,24.09,1.39,0.33,12658.0,30347195.55,2.74,24.24,23.59,23.78,23.76,0.85,1.5,-29.19,2.94,4167473640.0,2027004340.0,-0.33,0.04,-5.53,-41.33
2506,2168,协鑫集成,3.65,1.39,0.05,696026.0,252273795.72,2.22,3.65,3.57,3.6,3.6,0.69,1.19,284.61,9.33,21353654959.0,21350688195.0,0.0,0.27,9.61,-3.95
300862,2169,蓝盾光电,26.29,1.39,0.36,4212.0,10995529.0,2.2,26.38,25.81,25.9,25.93,0.71,0.49,49.09,1.79,3466860460.0,2257381859.0,0.19,0.11,2.98,-22.72
688281,2170,华秦科技,274.04,1.38,3.74,2825.0,78054052.0,4.74,281.81,269.0,270.75,270.3,0.47,1.31,103.13,7.11,25577067397.0,5931542362.0,0.0,0.01,-1.66,102.83
688253,2171,英诺特,25.65,1.38,0.35,7550.0,19343503.0,2.37,25.84,25.24,25.24,25.3,0.85,2.64,16.07,2.12,3489959930.0,733309158.0,-0.08,-0.12,-1.57,-1.57
688636,2172,智明达,128.3,1.38,1.75,2516.0,32047747.0,4.23,129.51,124.16,128.0,126.55,0.55,0.86,65.34,6.9,6480581828.0,3773259378.0,0.0,0.21,11.01,-9.01
2056,2173,横店东磁,21.28,1.38,0.29,179948.0,382282223.3,4.38,21.62,20.7,21.35,20.99,0.67,1.13,21.71,4.98,34616432935.0,33985410072.0,-0.05,-0.05,-16.39,14.22
301069,2174,凯盛新材,35.98,1.38,0.49,15504.0,55698662.48,3.72,36.53,35.21,35.59,35.49,0.92,2.58,57.63,11.59,15134627200.0,2158800000.0,0.03,0.25,-7.58,-25.85
603393,2175,新天然气,25.0,1.38,0.34,60826.0,151610837.0,3.49,25.33,24.47,24.59,24.66,0.44,1.62,11.03,2.22,10598033175.0,9403199050.0,-0.08,0.08,7.99,3.82
600673,2176,东阳光,10.3,1.38,0.14,204650.0,209395015.0,5.31,10.48,9.94,10.24,10.16,0.75,0.68,24.87,3.19,31043141768.0,30849644608.0,-0.19,-0.39,21.61,15.99
301035,2177,润丰股份,101.53,1.38,1.38,17168.0,171492247.74,6.69,102.5,95.8,100.5,100.15,0.66,1.97,15.79,5.01,28040555400.0,8830193348.0,0.38,0.47,36.76,77.59
300713,2178,英可瑞,13.98,1.38,0.19,10318.0,14326215.5,2.9,14.0,13.6,13.79,13.79,0.47,1.21,-136.96,3.05,2205781875.0,1190375345.0,0.07,-0.07,4.48,-31.64
688108,2179,赛诺医疗,5.89,1.38,0.08,20179.0,11814765.0,1.89,5.9,5.79,5.81,5.81,0.77,0.7,-16.95,2.81,2414900000.0,1707396410.0,-0.17,0.0,-1.34,-28.26
600983,2180,惠而浦,7.37,1.38,0.1,8521.0,6224921.0,2.06,7.37,7.22,7.37,7.27,0.7,0.11,-250.56,1.91,5648655430.0,5648655430.0,0.14,0.14,-4.41,-13.4
300345,2181,华民股份,8.11,1.38,0.11,50553.0,40528970.0,4.0,8.14,7.82,7.82,8.0,0.6,1.15,-8339.79,7.1,3578906367.0,3578906367.0,0.12,0.25,36.07,57.48
719,2182,中原传媒,8.11,1.38,0.11,65886.0,53398569.09,2.63,8.2,7.99,7.99,8.0,0.5,0.99,9.07,0.86,8298182404.0,5410566574.0,-0.12,0.0,14.87,12.8
600995,2183,文山电力,16.23,1.37,0.22,92555.0,149009013.0,3.56,16.39,15.82,16.32,16.01,0.55,1.93,38.01,3.48,7766483472.0,7766483472.0,0.06,0.12,11.39,-18.28
300360,2184,炬华科技,13.28,1.37,0.18,128561.0,171918528.71,6.79,13.81,12.92,13.36,13.1,0.7,2.95,17.67,2.43,6698261033.0,5789318153.0,0.15,0.15,29.81,8.94
688360,2185,德马科技,25.83,1.37,0.35,6866.0,17691454.0,2.39,25.99,25.38,25.6,25.48,0.86,1.63,23.69,2.31,2213026552.0,1090016262.0,-0.27,-0.31,-2.97,-20.11
600387,2186,ST海越,7.38,1.37,0.1,50139.0,36738787.0,1.79,7.39,7.26,7.33,7.28,0.46,1.24,40.19,1.12,3454906144.0,2981877871.0,0.54,0.54,16.59,2.64
2272,2187,川润股份,7.38,1.37,0.1,535108.0,391245633.72,5.49,7.49,7.09,7.23,7.28,0.82,16.11,620.15,2.24,3234358800.0,2451806205.0,0.0,-0.14,26.59,10.48
603718,2188,海利生物,11.08,1.37,0.15,34154.0,37640146.0,1.83,11.09,10.89,10.93,10.93,0.93,0.53,117.85,6.91,7135520000.0,7135520000.0,-0.09,-0.09,0.0,-27.58
688018,2189,乐鑫科技,95.29,1.37,1.29,5695.0,54337402.0,2.74,96.38,93.8,94.1,94.0,0.72,0.71,60.58,4.24,7666250593.0,7666250593.0,-0.01,-0.18,-11.78,-49.43
2719,2190,麦趣尔,8.13,1.37,0.11,67480.0,53935487.4,4.24,8.14,7.8,7.94,8.02,0.89,4.17,-4.04,1.92,1415753785.0,1316021758.0,0.0,0.12,-7.19,-22.42
600599,2191,ST熊猫,11.84,1.37,0.16,13065.0,15525360.0,3.77,12.06,11.62,11.62,11.68,0.64,0.79,14.03,2.56,1965440000.0,1965440000.0,0.0,-0.08,14.07,43.86
300708,2192,聚灿光电,11.84,1.37,0.16,58341.0,68856445.0,2.14,11.88,11.63,11.7,11.68,0.55,1.57,75.12,3.8,6449120673.0,4394021692.0,0.08,0.08,4.59,-35.55
2578,2193,闽发铝业,4.44,1.37,0.06,99745.0,43748881.48,2.51,4.44,4.33,4.38,4.38,0.5,1.1,63.4,2.92,4387134234.0,4043177993.0,0.23,0.0,-22.11,13.85
420,2194,吉林化纤,4.44,1.37,0.06,233076.0,103024414.58,2.51,4.47,4.36,4.4,4.38,0.74,1.08,-57.64,2.55,10917375443.0,9622710129.0,-0.22,-0.22,-4.52,-15.75
524,2195,岭南控股,10.39,1.37,0.14,166272.0,166717361.02,10.05,10.66,9.63,10.04,10.25,1.22,2.48,-34.84,3.28,6963467323.0,6962148042.0,0.0,0.0,1.96,39.46
688219,2196,会通股份,9.65,1.37,0.13,41310.0,39906691.0,4.31,9.88,9.47,9.55,9.52,0.79,1.63,69.69,2.59,4432087049.0,2452510068.0,0.0,-0.1,0.73,-21.74
600339,2197,中油工程,2.97,1.37,0.04,384030.0,113522313.0,3.07,2.99,2.9,2.92,2.93,0.86,0.69,12.99,0.66,16581947989.0,16581947989.0,0.34,0.0,-4.5,-2.94
2065,2198,东华软件,5.94,1.37,0.08,152282.0,90146696.27,1.88,5.95,5.84,5.86,5.86,0.98,0.52,24.32,1.68,19040565308.0,17250889467.0,0.0,-0.17,-1.98,-23.35
2501,2199,利源精制,2.23,1.36,0.03,113384.0,25197270.6,1.82,2.24,2.2,2.22,2.2,0.34,0.33,-26.8,5.23,7916500000.0,7738644133.0,0.45,0.45,-1.33,10.95
