,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
376,2022-07-29,000905,中证500,CSI 500,601198,东兴证券,"DONGXING SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.206
291,2022-07-29,000905,中证500,CSI 500,600325,华发股份,Huafa Industrial Co Ltd Zhuhai,上海证券交易所,Shanghai  Exchange,0.205
65,2022-07-29,000905,中证500,CSI 500,600118,中国卫星,China Spacesat Co Ltd,上海证券交易所,Shanghai  Exchange,0.205
383,2022-07-29,000905,中证500,CSI 500,603198,迎驾贡酒,"ANHUI YINGJIA DISTILLERY CO., LTD.",上海证券交易所,Shanghai  Exchange,0.204
200,2022-07-29,000905,中证500,CSI 500,002131,利欧股份,"LEO GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.204
352,2022-07-29,000905,中证500,CSI 500,300296,利亚德,"Leyard Optoelectronic Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.203
8,2022-07-29,000905,中证500,CSI 500,600166,福田汽车,Beiqi Foton Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.203
4,2022-07-29,000905,中证500,CSI 500,300017,网宿科技,"Wangsu Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.201
335,2022-07-29,000905,中证500,CSI 500,600985,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.201
194,2022-07-29,000905,中证500,CSI 500,600038,中直股份,"AVIC Helicopter Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.201
79,2022-07-29,000905,中证500,CSI 500,600008,首创环保,"Beijing Capital Eco-Environment Protection GroupCo.,Ltd.",上海证券交易所,Shanghai  Exchange,0.201
1,2022-07-29,000905,中证500,CSI 500,002408,齐翔腾达,Zibo Qixiang Tengda Chemical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.199
59,2022-07-29,000905,中证500,CSI 500,600369,西南证券,Southwest Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.197
475,2022-07-29,000905,中证500,CSI 500,300832,新产业,"Shenzhen New Industries Biomedical Engineering Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.197
191,2022-07-29,000905,中证500,CSI 500,600380,健康元,Joincare Pharmaceutical Group Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.197
188,2022-07-29,000905,中证500,CSI 500,002195,二三四五,"Shanghai 2345 Network Holding Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.196
236,2022-07-29,000905,中证500,CSI 500,002372,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.195
49,2022-07-29,000905,中证500,CSI 500,000997,新 大 陆,"Newland Digital Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.195
91,2022-07-29,000905,中证500,CSI 500,600529,山东药玻,Shandong Pharmaceutical Glass Co Ltd,上海证券交易所,Shanghai  Exchange,0.194
398,2022-07-29,000905,中证500,CSI 500,300558,贝达药业,"Betta Pharmaceuticals Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.194
143,2022-07-29,000905,中证500,CSI 500,002249,大洋电机,Zhongshan Broad-ocean Motor Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.191
417,2022-07-29,000905,中证500,CSI 500,603233,大参林,"DaShenLin Pharmaceutical Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.19
193,2022-07-29,000905,中证500,CSI 500,600316,洪都航空,Jiangxi Hongdu Aviation Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.19
479,2022-07-29,000905,中证500,CSI 500,688256,寒武纪,Cambricon Technologies Corporation Limited,上海证券交易所,Shanghai  Exchange,0.19
296,2022-07-29,000905,中证500,CSI 500,002439,启明星辰,Beijing Venustech Inc.,深圳证券交易所,Shenzhen  Exchange,0.19
400,2022-07-29,000905,中证500,CSI 500,600909,华安证券,"HUAAN SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.19
206,2022-07-29,000905,中证500,CSI 500,600171,上海贝岭,Shanghai Belling Corp Ltd,上海证券交易所,Shanghai  Exchange,0.19
121,2022-07-29,000905,中证500,CSI 500,600801,华新水泥,Huaxin Cement Co Ltd,上海证券交易所,Shanghai  Exchange,0.19
339,2022-07-29,000905,中证500,CSI 500,000027,深圳能源,Shenzhen Energy Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.189
402,2022-07-29,000905,中证500,CSI 500,603218,日月股份,"Riyue Heavy Industry Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.189
141,2022-07-29,000905,中证500,CSI 500,601005,重庆钢铁,Chongqing Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.188
366,2022-07-29,000905,中证500,CSI 500,300383,光环新网,"Beijing Sinnet Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.188
474,2022-07-29,000905,中证500,CSI 500,002985,北摩高科,"BEIJING BEI MO GAO KE FRICTION MATERIAL CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.188
449,2022-07-29,000905,中证500,CSI 500,002958,青农商行,Qingdao Rural Commercial Bank Corporation,深圳证券交易所,Shenzhen  Exchange,0.188
221,2022-07-29,000905,中证500,CSI 500,300070,碧水源,Beijing Originwater Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.188
61,2022-07-29,000905,中证500,CSI 500,600820,隧道股份,Shanghai Tunnel Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,0.187
25,2022-07-29,000905,中证500,CSI 500,600315,上海家化,Shanghai Jahwa United Co Ltd,上海证券交易所,Shanghai  Exchange,0.187
22,2022-07-29,000905,中证500,CSI 500,600863,内蒙华电,Inner Mongolia Mengdian Huaneng Thermal Power Corp Ltd,上海证券交易所,Shanghai  Exchange,0.186
327,2022-07-29,000905,中证500,CSI 500,000050,深天马A,Tianma Microelectronics Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.186
344,2022-07-29,000905,中证500,CSI 500,000513,丽珠集团,Livzon Pharmaceutical Group Inc,深圳证券交易所,Shenzhen  Exchange,0.185
276,2022-07-29,000905,中证500,CSI 500,600271,航天信息,"Aisino Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.185
298,2022-07-29,000905,中证500,CSI 500,002244,滨江集团,Hangzhou Binjiang Real Estate Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.184
266,2022-07-29,000905,中证500,CSI 500,000709,河钢股份,HESTEEL COMPANY LIMITED,深圳证券交易所,Shenzhen  Exchange,0.184
463,2022-07-29,000905,中证500,CSI 500,002966,苏州银行,"BANK OF SUZHOU CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.183
5,2022-07-29,000905,中证500,CSI 500,002500,山西证券,Shanxi Securities Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.183
223,2022-07-29,000905,中证500,CSI 500,002183,怡亚通,Eternal Asia Supply Chain Management Ltd,深圳证券交易所,Shenzhen  Exchange,0.183
427,2022-07-29,000905,中证500,CSI 500,002926,华西证券,"Huaxi Securities Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.182
81,2022-07-29,000905,中证500,CSI 500,600258,首旅酒店,"BTG Hotels (Group) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.182
20,2022-07-29,000905,中证500,CSI 500,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.182
216,2022-07-29,000905,中证500,CSI 500,002505,鹏都农牧,"PENGDU AGRICULTURE & ANIMAL HUSBANDRY CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.182
328,2022-07-29,000905,中证500,CSI 500,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.182
351,2022-07-29,000905,中证500,CSI 500,000729,燕京啤酒,Beijing Yanjing Brewery Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.182
407,2022-07-29,000905,中证500,CSI 500,300618,寒锐钴业,"Nanjing Hanrui Cobalt Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.181
482,2022-07-29,000905,中证500,CSI 500,688521,芯原股份,"VeriSilicon Microelectronics (Shanghai) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.179
262,2022-07-29,000905,中证500,CSI 500,002152,广电运通,GRG Banking Equipment Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.178
190,2022-07-29,000905,中证500,CSI 500,600528,中铁工业,China Railway Hi-tech Industry Corporation Limited,上海证券交易所,Shanghai  Exchange,0.177
261,2022-07-29,000905,中证500,CSI 500,300026,红日药业,Tianjin Chase Sun Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.177
17,2022-07-29,000905,中证500,CSI 500,600208,新湖中宝,Xinhu Zhongbao Co Ltd,上海证券交易所,Shanghai  Exchange,0.177
102,2022-07-29,000905,中证500,CSI 500,000739,普洛药业,"Apeloa Pharmaceutical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.177
457,2022-07-29,000905,中证500,CSI 500,688009,中国通号,China Railway Signal & Communication Corporation Limited,上海证券交易所,Shanghai  Exchange,0.177
304,2022-07-29,000905,中证500,CSI 500,002572,索菲亚,Suofeiya Home Collection Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.177
235,2022-07-29,000905,中证500,CSI 500,002373,千方科技,Surekam Corporation,深圳证券交易所,Shenzhen  Exchange,0.176
267,2022-07-29,000905,中证500,CSI 500,000825,太钢不锈,Shanxi Taigang Stainless Steel Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.175
286,2022-07-29,000905,中证500,CSI 500,300182,捷成股份,Beijing Jetsen Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.175
178,2022-07-29,000905,中证500,CSI 500,600970,中材国际,Sinoma International Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,0.174
481,2022-07-29,000905,中证500,CSI 500,688185,康希诺,CanSino Biologics Inc.,上海证券交易所,Shanghai  Exchange,0.174
204,2022-07-29,000905,中证500,CSI 500,601866,中远海发,"COSCO SHIPPING Development Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.173
285,2022-07-29,000905,中证500,CSI 500,300168,万达信息,Wonders Information Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.172
338,2022-07-29,000905,中证500,CSI 500,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.171
135,2022-07-29,000905,中证500,CSI 500,000690,宝新能源,"Guangdong Baolihua New Energy Stock Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.171
317,2022-07-29,000905,中证500,CSI 500,601992,金隅集团,BBMG Corporation,上海证券交易所,Shanghai  Exchange,0.171
32,2022-07-29,000905,中证500,CSI 500,002124,天邦食品,"Tech-bank Food Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.171
19,2022-07-29,000905,中证500,CSI 500,600839,四川长虹,Sichuan Changhong Electric Co Ltd,上海证券交易所,Shanghai  Exchange,0.171
208,2022-07-29,000905,中证500,CSI 500,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.17
60,2022-07-29,000905,中证500,CSI 500,600390,五矿资本,Minmetals Capital Company Limited,上海证券交易所,Shanghai  Exchange,0.169
179,2022-07-29,000905,中证500,CSI 500,002212,天融信,Topsec Technologies Group Inc.,深圳证券交易所,Shenzhen  Exchange,0.169
56,2022-07-29,000905,中证500,CSI 500,600056,中国医药,"China Meheco Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.169
399,2022-07-29,000905,中证500,CSI 500,603858,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.168
464,2022-07-29,000905,中证500,CSI 500,688188,柏楚电子,SHANGHAI FRIENDESS ELECTRONICS TECHNOLOGY CORPORATION LIMITED,上海证券交易所,Shanghai  Exchange,0.168
395,2022-07-29,000905,中证500,CSI 500,603658,安图生物,"Autobio Diagnostics Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.167
66,2022-07-29,000905,中证500,CSI 500,600667,太极实业,Wuxi Taiji Industrial Co Ltd,上海证券交易所,Shanghai  Exchange,0.166
215,2022-07-29,000905,中证500,CSI 500,600998,九州通,Jointown Pharmaceutical Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.165
416,2022-07-29,000905,中证500,CSI 500,300677,英科医疗,"Intco Medical Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.165
137,2022-07-29,000905,中证500,CSI 500,000778,新兴铸管,Xinxing Ductile Iron Pipes Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.164
297,2022-07-29,000905,中证500,CSI 500,002396,星网锐捷,Fujian Star-net Communication Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.163
163,2022-07-29,000905,中证500,CSI 500,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,上海证券交易所,Shanghai  Exchange,0.163
228,2022-07-29,000905,中证500,CSI 500,300009,安科生物,Anhui Anke Biotechnology (Group) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.163
147,2022-07-29,000905,中证500,CSI 500,002155,湖南黄金,Hunan Gold Corporation Limited,深圳证券交易所,Shenzhen  Exchange,0.162
44,2022-07-29,000905,中证500,CSI 500,601179,中国西电,China XD Electric Co Ltd,上海证券交易所,Shanghai  Exchange,0.161
428,2022-07-29,000905,中证500,CSI 500,603156,养元饮品,"Hebei Yangyuan ZhiHui Beverage Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.161
343,2022-07-29,000905,中证500,CSI 500,000401,冀东水泥,Tangshan Jidong Cement Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.16
106,2022-07-29,000905,中证500,CSI 500,600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,上海证券交易所,Shanghai  Exchange,0.16
249,2022-07-29,000905,中证500,CSI 500,002128,电投能源,INNER MONGOLIA DIAN TOU ENERGY CORPORATION LIMITED,深圳证券交易所,Shenzhen  Exchange,0.159
305,2022-07-29,000905,中证500,CSI 500,002532,天山铝业,"TIANSHAN ALUMINUM GROUP CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.158
401,2022-07-29,000905,中证500,CSI 500,002831,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.158
54,2022-07-29,000905,中证500,CSI 500,600060,海信视像,"Hisense Visual Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.158
455,2022-07-29,000905,中证500,CSI 500,688002,睿创微纳,"Raytron Technology Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.158
225,2022-07-29,000905,中证500,CSI 500,002266,浙富控股,"ZHEFU HOLDING GROUP CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.157
364,2022-07-29,000905,中证500,CSI 500,300376,易事特,"East Group Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.157
51,2022-07-29,000905,中证500,CSI 500,600021,上海电力,Shanghai Electric Power Co Ltd,上海证券交易所,Shanghai  Exchange,0.157
476,2022-07-29,000905,中证500,CSI 500,601778,晶科科技,"Jinko Power Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.157
85,2022-07-29,000905,中证500,CSI 500,600598,北大荒,Heilongjiang Agriculture Co Ltd,上海证券交易所,Shanghai  Exchange,0.155
387,2022-07-29,000905,中证500,CSI 500,300482,万孚生物,"GUANGZHOU WONDFO BIOTECH CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.155
471,2022-07-29,000905,中证500,CSI 500,688208,道通科技,"Autel Intelligent Technology Corp.,Ltd.",上海证券交易所,Shanghai  Exchange,0.154
128,2022-07-29,000905,中证500,CSI 500,600511,国药股份,China National Medicines Corp Ltd,上海证券交易所,Shanghai  Exchange,0.154
116,2022-07-29,000905,中证500,CSI 500,600718,东软集团,Neusoft Corporation,上海证券交易所,Shanghai  Exchange,0.154
273,2022-07-29,000905,中证500,CSI 500,000883,湖北能源,Hubei Energy Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.153
248,2022-07-29,000905,中证500,CSI 500,002127,南极电商,"NanJi E-Commerce Co., LTD",深圳证券交易所,Shenzhen  Exchange,0.153
277,2022-07-29,000905,中证500,CSI 500,600517,国网英大,"STATE GRID YINGDA CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.153
205,2022-07-29,000905,中证500,CSI 500,600155,华创阳安,"Polaris Bay Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.152
312,2022-07-29,000905,中证500,CSI 500,300251,光线传媒,Beijing Enlight Media Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.152
132,2022-07-29,000905,中证500,CSI 500,000656,金科股份,"Jinke Property Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.152
348,2022-07-29,000905,中证500,CSI 500,000581,威孚高科,Weifu High-Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.152
134,2022-07-29,000905,中证500,CSI 500,000686,东北证券,Northeast Securities Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.151
93,2022-07-29,000905,中证500,CSI 500,000930,中粮科技,"COFCO BIOTECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.151
256,2022-07-29,000905,中证500,CSI 500,300115,长盈精密,Shenzhen Evenwin Precision Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.151
323,2022-07-29,000905,中证500,CSI 500,002670,国盛金控,Guosheng Financial Holding Inc.,深圳证券交易所,Shenzhen  Exchange,0.15
209,2022-07-29,000905,中证500,CSI 500,600216,浙江医药,Zhejiang Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,0.15
47,2022-07-29,000905,中证500,CSI 500,000987,越秀金控,"Guangzhou Yuexiu Financial Holdings Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.15
13,2022-07-29,000905,中证500,CSI 500,600259,广晟有色,"Rising Nonferrous Metals Share Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.15
280,2022-07-29,000905,中证500,CSI 500,601880,辽港股份,"Liaoning Port Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.149
378,2022-07-29,000905,中证500,CSI 500,600959,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,上海证券交易所,Shanghai  Exchange,0.149
230,2022-07-29,000905,中证500,CSI 500,002221,东华能源,Oriental Energy Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.149
180,2022-07-29,000905,中证500,CSI 500,002191,劲嘉股份,"SHENZHEN JINJIA GROUP CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.148
429,2022-07-29,000905,中证500,CSI 500,603712,七一二,"Tianjin 712 Communication & Broadcasting Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.148
168,2022-07-29,000905,中证500,CSI 500,600201,生物股份,"Jinyu Bio-Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.147
207,2022-07-29,000905,中证500,CSI 500,600282,南钢股份,Nanjing Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.146
174,2022-07-29,000905,中证500,CSI 500,002004,华邦健康,"HUAPONT LIFE SCIENCES CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.145
242,2022-07-29,000905,中证500,CSI 500,600827,百联股份,"Shanghai Bailian Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.144
172,2022-07-29,000905,中证500,CSI 500,600022,山东钢铁,SHANDONG IRON AND STEEL COMPANY LTD,上海证券交易所,Shanghai  Exchange,0.143
175,2022-07-29,000905,中证500,CSI 500,002002,鸿达兴业,"Hongda Xingye Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.143
182,2022-07-29,000905,中证500,CSI 500,002468,申通快递,"STO Express Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.142
53,2022-07-29,000905,中证500,CSI 500,600755,厦门国贸,Xiamen International Trade Group Corp Ltd,上海证券交易所,Shanghai  Exchange,0.142
122,2022-07-29,000905,中证500,CSI 500,600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",上海证券交易所,Shanghai  Exchange,0.142
361,2022-07-29,000905,中证500,CSI 500,002701,奥瑞金,"ORG Packaging Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.142
337,2022-07-29,000905,中证500,CSI 500,000012,南  玻A,CSG Holding Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.142
319,2022-07-29,000905,中证500,CSI 500,000598,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.142
199,2022-07-29,000905,中证500,CSI 500,601718,际华集团,Jihua Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.141
415,2022-07-29,000905,中证500,CSI 500,603707,健友股份,"Nanjing King-Friend Biochemical Pharmaceutical Co., Ltd",上海证券交易所,Shanghai  Exchange,0.141
456,2022-07-29,000905,中证500,CSI 500,688006,杭可科技,Zhejiang HangKe Technology Incorporated Company,上海证券交易所,Shanghai  Exchange,0.141
118,2022-07-29,000905,中证500,CSI 500,600895,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.14
164,2022-07-29,000905,中证500,CSI 500,600728,佳都科技,"Pci-Suntek Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.14
76,2022-07-29,000905,中证500,CSI 500,600567,山鹰国际,"Shanying International Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.14
75,2022-07-29,000905,中证500,CSI 500,600500,中化国际,Sinochem International Corp,上海证券交易所,Shanghai  Exchange,0.14
263,2022-07-29,000905,中证500,CSI 500,002153,石基信息,Beijing Shiji Information Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.139
486,2022-07-29,000905,中证500,CSI 500,300888,稳健医疗,"Winner Medical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.139
308,2022-07-29,000905,中证500,CSI 500,002595,豪迈科技,Shandong Himile Mechanical Science & Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.138
74,2022-07-29,000905,中证500,CSI 500,002019,亿帆医药,"YIFAN PHARMACEUTICAL CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.138
313,2022-07-29,000905,中证500,CSI 500,002511,中顺洁柔,C&S Paper Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.137
214,2022-07-29,000905,中证500,CSI 500,002429,兆驰股份,Shenzhen MTC Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.137
381,2022-07-29,000905,中证500,CSI 500,603885,吉祥航空,"JUNEYAO AIRLINES Co., Ltd",上海证券交易所,Shanghai  Exchange,0.137
255,2022-07-29,000905,中证500,CSI 500,601106,中国一重,China First Heavy Industries Co Ltd,上海证券交易所,Shanghai  Exchange,0.136
346,2022-07-29,000905,中证500,CSI 500,000559,万向钱潮,Wanxiang Qianchao Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.135
15,2022-07-29,000905,中证500,CSI 500,600037,歌华有线,Beijing Gehua CATV Network Co Ltd,上海证券交易所,Shanghai  Exchange,0.135
198,2022-07-29,000905,中证500,CSI 500,600663,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.135
374,2022-07-29,000905,中证500,CSI 500,002745,木林森,"MLS Co.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.135
34,2022-07-29,000905,中证500,CSI 500,600062,华润双鹤,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.135
105,2022-07-29,000905,中证500,CSI 500,600566,济川药业,"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",上海证券交易所,Shanghai  Exchange,0.134
112,2022-07-29,000905,中证500,CSI 500,600782,新钢股份,"Xinyu Iron & Steel Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.134
484,2022-07-29,000905,中证500,CSI 500,688289,圣湘生物,Sansure Biotech Inc.,上海证券交易所,Shanghai  Exchange,0.133
293,2022-07-29,000905,中证500,CSI 500,600409,三友化工,Tangshan Sanyou Chemical Industries Co Ltd,上海证券交易所,Shanghai  Exchange,0.132
259,2022-07-29,000905,中证500,CSI 500,601958,金钼股份,Jinduicheng Molybdenum Co Ltd,上海证券交易所,Shanghai  Exchange,0.131
88,2022-07-29,000905,中证500,CSI 500,600582,天地科技,Tiandi Science & Technology Co Ltd,上海证券交易所,Shanghai  Exchange,0.13
439,2022-07-29,000905,中证500,CSI 500,002939,长城证券,"CHINA GREAT WALL SECURITIES CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.13
140,2022-07-29,000905,中证500,CSI 500,002048,宁波华翔,Ningbo Huaxiang Electronic Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.13
123,2022-07-29,000905,中证500,CSI 500,600597,光明乳业,Bright Dairy & Food Co Ltd,上海证券交易所,Shanghai  Exchange,0.13
467,2022-07-29,000905,中证500,CSI 500,603927,中科软,"Sinosoft Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.129
294,2022-07-29,000905,中证500,CSI 500,600435,北方导航,"North Navigation Control Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.129
284,2022-07-29,000905,中证500,CSI 500,300166,东方国信,"Beijing Orient National Communication Science and Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.129
238,2022-07-29,000905,中证500,CSI 500,300072,海新能科,"Beijing Haixin Energy Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.128
441,2022-07-29,000905,中证500,CSI 500,601860,紫金银行,"Jiangsu Zijin Rural Commercial Bank Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.128
382,2022-07-29,000905,中证500,CSI 500,300463,迈克生物,"Sichuan Maker Biotechnology Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.127
6,2022-07-29,000905,中证500,CSI 500,600131,国网信通,"State Grid Information&Communication Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.125
55,2022-07-29,000905,中证500,CSI 500,600064,南京高科,NANJING GAOKE COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.125
104,2022-07-29,000905,中证500,CSI 500,000785,居然之家,"EASYHOME NEW RETAIL GROUP CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.124
333,2022-07-29,000905,中证500,CSI 500,600572,康恩贝,Zhejiang Conba Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,0.124
184,2022-07-29,000905,中证500,CSI 500,002368,太极股份,Taiji Computer Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.124
492,2022-07-29,000905,中证500,CSI 500,003035,南网能源,"China Southern Power Grid Energy Efficiency&Clean Energy Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.123
295,2022-07-29,000905,中证500,CSI 500,600507,方大特钢,"Fangda Special Steel Technology Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.122
69,2022-07-29,000905,中证500,CSI 500,600737,中粮糖业,"COFCO SUGAR HOLDING CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.122
57,2022-07-29,000905,中证500,CSI 500,600398,海澜之家,"Heilan Home Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.122
157,2022-07-29,000905,中证500,CSI 500,600967,内蒙一机,"Inner Mongolia First Machinery Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.121
239,2022-07-29,000905,中证500,CSI 500,601000,唐山港,Tangshan Port Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.12
